Price ID,Product Name,Product Statement Descriptor,Product Tax Code,Description,Interval,Interval Count,Usage Type,Tax Behavior
price_1P09Z7LJkZ8mI1nvlkJ48GlN,"Red Laser, EU 19 (US 3.5 Baby/Kid)",,,,,,,unspecified
price_1P09Z6LJkZ8mI1nvcoZZcgB1,"Red Laser, EU 18 (US 2.5 Baby/Kid)",,,,,,,unspecified
price_1P09Z6LJkZ8mI1nvYsR559NM,"Red Laser, EU 17 (US 2 Baby/Kid)",,,,,,,unspecified
price_1P09Z5LJkZ8mI1nvCr7pTuPr,"Circle, EU 31 (US 13 Baby/Kid)",,,,,,,unspecified
price_1P09Z4LJkZ8mI1nv4GCejOQt,"Circle, EU 30 (US 12 Baby/Kid)",,,,,,,unspecified
price_1P09Z4LJkZ8mI1nvY2yetn96,"Circle, EU 29 (US 11.5 Baby/Kid)",,,,,,,unspecified
price_1P09Z3LJkZ8mI1nvfL1np5yh,"Circle, EU 28 (US 11 Baby/Kid)",,,,,,,unspecified
price_1P09Z2LJkZ8mI1nveBZ3asMu,"Circle, EU 27 (US 10 Baby/Kid)",,,,,,,unspecified
price_1P09Z1LJkZ8mI1nvuDumOpbw,"Circle, EU 26 (US 9.5 Baby/Kid)",,,,,,,unspecified
price_1P09Z1LJkZ8mI1nvhW1xsfHd,"Circle, EU 25 (US 8.5 Baby/Kid)",,,,,,,unspecified
price_1P09Z0LJkZ8mI1nvxeyHvQSN,"Circle, EU 24 (US 8 Baby/Kid)",,,,,,,unspecified
price_1P09YzLJkZ8mI1nvKcgDJbLJ,"Circle, EU 23 (US 7 Baby/Kid)",,,,,,,unspecified
price_1P09YzLJkZ8mI1nvhuKQXtPi,"Circle, EU 22 (US 6 Baby/Kid)",,,,,,,unspecified
price_1P09YyLJkZ8mI1nvyykfP22J,"Circle, EU 21 (US 5.5 Baby/Kid)",,,,,,,unspecified
price_1P09YxLJkZ8mI1nv7b05no1C,"Circle, EU 20 (US 4.5 Baby/Kid)",,,,,,,unspecified
price_1P09YwLJkZ8mI1nv7Qa3NtJI,"Circle, EU 19 (US 3.5 Baby/Kid)",,,,,,,unspecified
price_1P09YwLJkZ8mI1nvtQ9EMpct,"Circle, EU 18 (US 2.5 Baby/Kid)",,,,,,,unspecified
price_1P09YvLJkZ8mI1nv230idD3L,"Circle, EU 17 (US 2 Baby/Kid)",,,,,,,unspecified
price_1P09YuLJkZ8mI1nvk6a87U2y,"Gulls, EU 31 (US 13 Baby/Kid)",,,,,,,unspecified
price_1P09YuLJkZ8mI1nv22tgeSuc,"Gulls, EU 30 (US 12 Baby/Kid)",,,,,,,unspecified
price_1P09YtLJkZ8mI1nvCmBLSbaM,"Gulls, EU 29 (US 11.5 Baby/Kid)",,,,,,,unspecified
price_1P09YsLJkZ8mI1nvkchcV1BN,"Gulls, EU 28 (US 11 Baby/Kid)",,,,,,,unspecified
price_1P09YrLJkZ8mI1nvI52u380u,"Gulls, EU 27 (US 10 Baby/Kid)",,,,,,,unspecified
price_1P09YrLJkZ8mI1nvrw0kjTBZ,"Gulls, EU 26 (US 9.5 Baby/Kid)",,,,,,,unspecified
price_1P09YqLJkZ8mI1nvq9gyXjqF,"Gulls, EU 25 (US 8.5 Baby/Kid)",,,,,,,unspecified
price_1P09YpLJkZ8mI1nvZ3P3HO56,"Gulls, EU 24 (US 8 Baby/Kid)",,,,,,,unspecified
price_1P09YpLJkZ8mI1nvmEkNZSZ2,"Gulls, EU 23 (US 7 Baby/Kid)",,,,,,,unspecified
price_1P09YoLJkZ8mI1nvrqUH9Ya8,"Gulls, EU 22 (US 6 Baby/Kid)",,,,,,,unspecified
price_1P09YnLJkZ8mI1nvxF9ABA1c,"Gulls, EU 21 (US 5.5 Baby/Kid)",,,,,,,unspecified
price_1P09YmLJkZ8mI1nvvjSW4UxL,"Gulls, EU 20 (US 4.5 Baby/Kid)",,,,,,,unspecified
price_1P09YmLJkZ8mI1nvQnGNcXKt,"Gulls, EU 19 (US 3.5 Baby/Kid)",,,,,,,unspecified
price_1P09YlLJkZ8mI1nvMivNRW7X,"Gulls, EU 18 (US 2.5 Baby/Kid)",,,,,,,unspecified
price_1P09YkLJkZ8mI1nvfrhLdzbn,"Gulls, EU 17 (US 2 Baby/Kid)",,,,,,,unspecified
price_1P09YjLJkZ8mI1nv3rMGRTjd,"Tiger, EU 31 (US 13 Baby/Kid)",,,,,,,unspecified
price_1P09YiLJkZ8mI1nvyPTDF6Wz,"Tiger, EU 30 (US 12 Baby/Kid)",,,,,,,unspecified
price_1P09YhLJkZ8mI1nvts5SKmLO,"Tiger, EU 29 (US 11.5 Baby/Kid)",,,,,,,unspecified
price_1P09YhLJkZ8mI1nvffSRoiEo,"Tiger, EU 28 (US 11 Baby/Kid)",,,,,,,unspecified
price_1P09YgLJkZ8mI1nvwqEXs4AN,"Tiger, EU 27 (US 10 Baby/Kid)",,,,,,,unspecified
price_1P09YfLJkZ8mI1nvr7fa2uml,"Tiger, EU 26 (US 9.5 Baby/Kid)",,,,,,,unspecified
price_1P09YfLJkZ8mI1nvezp4UJNr,"Tiger, EU 25 (US 8.5 Baby/Kid)",,,,,,,unspecified
price_1P09YeLJkZ8mI1nvcGWLeaex,"Tiger, EU 24 (US 8 Baby/Kid)",,,,,,,unspecified
